Date Time,Total Trades,Win Rate (%),Net Profit (USDT)
2026-05-19 00:54:01,0,0.0%,$0.00
2026-05-19 00:54:38,0,0.0%,$0.00
2026-05-19 00:56:09,0,0.0%,$0.00
2026-05-19 00:56:54,0,0.0%,$0.00
2026-05-19 00:57:52,0,0.0%,$0.00
2026-05-19 00:58:22,0,0.0%,$0.00
2026-05-19 00:59:21,0,0.0%,$0.00
2026-05-19 01:03:05,0,0.0%,$0.00
2026-05-19 01:03:43,0,0.0%,$0.00
2026-05-19 01:05:00,0,0.0%,$0.00
2026-05-19 01:05:56,0,0.0%,$0.00
2026-05-19 01:06:05,0,0.0%,$0.00
2026-05-19 01:06:53,0,0.0%,$0.00
2026-05-19 01:07:16,0,0.0%,$0.00
2026-05-19 01:08:24,0,0.0%,$0.00
2026-05-19 01:11:53,0,0.0%,$0.00
2026-05-19 01:12:38,0,0.0%,$0.00
2026-05-19 01:13:45,0,0.0%,$0.00
2026-05-19 01:14:20,0,0.0%,$0.00
2026-05-19 01:14:46,0,0.0%,$0.00
2026-05-19 01:14:55,0,0.0%,$0.00
2026-05-19 01:15:43,0,0.0%,$0.00
2026-05-19 01:16:01,0,0.0%,$0.00
2026-05-19 01:17:08,0,0.0%,$0.00
2026-05-19 01:20:36,0,0.0%,$0.00
2026-05-19 01:20:42,0,0.0%,$0.00
2026-05-19 01:21:21,0,0.0%,$0.00
2026-05-19 01:22:30,0,0.0%,$0.00
2026-05-19 01:23:19,0,0.0%,$0.00
2026-05-19 01:23:32,0,0.0%,$0.00
2026-05-19 01:23:38,0,0.0%,$0.00
2026-05-19 01:24:38,0,0.0%,$0.00
2026-05-19 01:24:41,0,0.0%,$0.00
2026-05-19 01:24:50,0,0.0%,$0.00
2026-05-19 01:25:49,0,0.0%,$0.00
2026-05-19 01:29:22,0,0.0%,$0.00
2026-05-19 01:29:26,0,0.0%,$0.00
2026-05-19 01:29:37,0,0.0%,$0.00
2026-05-19 01:30:06,0,0.0%,$0.00
2026-05-19 01:31:09,0,0.0%,$0.00
2026-05-19 01:32:04,0,0.0%,$0.00
2026-05-19 01:32:13,0,0.0%,$0.00
2026-05-19 01:32:16,0,0.0%,$0.00
2026-05-19 01:32:17,0,0.0%,$0.00
2026-05-19 01:33:33,0,0.0%,$0.00
2026-05-19 01:33:33,0,0.0%,$0.00
2026-05-19 01:33:34,0,0.0%,$0.00
2026-05-19 01:34:30,0,0.0%,$0.00
2026-05-19 01:38:04,0,0.0%,$0.00
2026-05-19 01:38:22,0,0.0%,$0.00
2026-05-19 01:38:28,0,0.0%,$0.00
2026-05-19 01:38:53,0,0.0%,$0.00
2026-05-19 01:39:49,0,0.0%,$0.00
2026-05-19 01:40:53,0,0.0%,$0.00
2026-05-19 01:40:56,0,0.0%,$0.00
2026-05-19 01:41:00,0,0.0%,$0.00
2026-05-19 01:41:04,0,0.0%,$0.00
2026-05-19 01:42:16,0,0.0%,$0.00
2026-05-19 01:42:17,0,0.0%,$0.00
2026-05-19 01:42:18,0,0.0%,$0.00
2026-05-19 01:43:08,0,0.0%,$0.00
2026-05-19 01:43:18,0,0.0%,$0.00
2026-05-19 01:46:47,0,0.0%,$0.00
2026-05-19 01:47:07,0,0.0%,$0.00
2026-05-19 01:47:16,0,0.0%,$0.00
2026-05-19 01:47:34,0,0.0%,$0.00
2026-05-19 01:48:34,0,0.0%,$0.00
2026-05-19 01:49:30,0,0.0%,$0.00
2026-05-19 01:49:39,0,0.0%,$0.00
2026-05-19 01:49:44,0,0.0%,$0.00
2026-05-19 01:49:52,0,0.0%,$0.00
2026-05-19 01:50:56,0,0.0%,$0.00
2026-05-19 01:50:57,0,0.0%,$0.00
2026-05-19 01:51:10,0,0.0%,$0.00
2026-05-19 01:51:56,0,0.0%,$0.00
2026-05-19 01:52:37,0,0.0%,$0.00
2026-05-19 01:55:37,1,100.0%,$0.13
2026-05-19 01:56:00,1,100.0%,$0.13
2026-05-19 01:56:08,1,100.0%,$0.13
2026-05-19 01:56:21,1,100.0%,$0.13
2026-05-19 01:57:08,1,100.0%,$0.13
2026-05-19 01:58:10,1,100.0%,$0.13
2026-05-19 01:58:17,1,100.0%,$0.13
2026-05-19 01:58:34,1,100.0%,$0.13
2026-05-19 01:58:43,1,100.0%,$0.13
2026-05-19 01:59:45,1,100.0%,$0.13
2026-05-19 01:59:45,1,100.0%,$0.13
2026-05-19 01:59:56,1,100.0%,$0.13
2026-05-19 02:00:37,1,100.0%,$0.13
2026-05-19 02:00:53,1,100.0%,$0.13
2026-05-19 02:01:56,1,100.0%,$0.13
2026-05-19 02:04:11,1,100.0%,$0.13
2026-05-19 02:04:21,1,100.0%,$0.13
2026-05-19 02:04:51,1,100.0%,$0.13
2026-05-19 02:05:06,1,100.0%,$0.13
2026-05-19 02:05:08,1,100.0%,$0.13
2026-05-19 02:05:46,1,100.0%,$0.13
2026-05-19 02:06:47,1,100.0%,$0.13
2026-05-19 02:06:54,1,100.0%,$0.13
2026-05-19 02:07:18,1,100.0%,$0.13
2026-05-19 02:07:34,1,100.0%,$0.13
2026-05-19 02:08:32,1,100.0%,$0.13
2026-05-19 02:08:39,1,100.0%,$0.13
2026-05-19 02:08:50,1,100.0%,$0.13
