2026/05/25 03:44:29 [MAIN] panic monitor active threshold=-2.00%
2026/05/25 03:44:29 [MAIN] triada-go-scalp started
2026/05/25 03:44:29 [DEBUG] best=BTCUSDT vel=0.0000 rvol=1.00 obi=0.00 rsi=50.0 score=0.0000 (need vel>=0.0012 rvol>=1.40 obi>=0.25)
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=2283
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=2166
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=78
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=92
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=2060
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=153
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.TONUSDT len=1972
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=2192
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=79
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.XRPUSDT len=2094
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ADAUSDT len=2139
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=1950
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.LINKUSDT len=1933
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.PEPEUSDT len=2815
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BONKUSDT len=2741
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BONKUSDT len=232
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SHIBUSDT len=2795
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.FLOKIUSDT len=2520
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.WIFUSDT len=2064
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ARBUSDT len=2184
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.OPUSDT len=2105
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=2071
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SEIUSDT len=2254
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.TIAUSDT len=2030
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.APTUSDT len=1980
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.INJUSDT len=1847
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.GALAUSDT len=2301
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.LDOUSDT len=1997
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.STXUSDT len=1880
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.IMXUSDT len=2041
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.PYTHUSDT len=2105
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ORDIUSDT len=1768
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SATSUSDT len=3176
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=120
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=115
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=114
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=120
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.TONUSDT len=78
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=79
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=78
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=92
